上海工会管理职业学院,1951年,上海市,奉贤区,www.shghxyedu.net,,
上海工商职业技术学院,1993年,上海市教育委员会,嘉定区,www.sicp.edu.cn,民办,
上海东海职业技术学院,1993年,上海市教育委员会,闵行区,www.esu.edu.cn,民办,
上海欧华职业技术学院,1999年,上海市教育委员会,徐汇区,www.shohzyxy.com,民办,
上海工商外国语职业学院,2001年,上海市教育委员会,浦东新区,www.sicfl.edu.cn,民办,
上海震旦职业学院,1984年,上海市教育委员会,宝山区,www.aurora-college.cn,民办,
上海邦德职业技术学院,1998年,上海市教育委员会,宝山区,www.shbangde.com,民办,
上海济光职业技术学院,1993年,上海市教育委员会,宝山区,www.shjgu.edu.cn,民办,
上海民远职业技术学院,1998年,上海市教育委员会,浦东新区,www.shmy.edu.cn,民办,
上海思博职业技术学院,2003年,上海市教育委员会,浦东新区,edu.shsipo.com,民办,
上海电影艺术职业学院,2003年,上海市教育委员会,浦东新区,www.shfilmart.com,民办,
,,,,,,
,军事院校,,,,,
学校名称,所在地,创办时间,所属部门,学位层次,网址,备注
中国人民解放军海军军医大学,杨浦区,1949年,海军副军级,博士,,一流学科建设高校
,,,,,,
,成人院校,,,,,
学校名称,所在地,创办时间,性质,网址,备注,
上海医药职工大学,长宁区,1939年,公办,www.yxyzdedu.com,,
上海市静安区业余大学,静安区,1945年,公办,www.sjdc.net.cn,,
上海青年管理干部学院,虹口区,1951年,公办,www.shqgy.com.cn,,
上海市徐汇区业余大学,徐汇区,1953年,公办,www.shxhlu.net,,
上海纺织工业职工大学,普陀区,1955年,公办,ae.sifec.edu.cn,,
上海市黄浦区业余大学,黄浦区,1958年,公办,www.hpcollege.net,,
上海市长宁区业余大学,长宁区,1958年,公办,www.chncc.net,,
上海市杨浦区业余大学,杨浦区,1958年,公办,,,
上海开放大学,杨浦区,1960年,公办,www.shou.org.cn,全市多地办学,
上海市经济管理干部学院,徐汇区,,公办,shjjglxy.com,,
上海科技管理干部学院,嘉定区,1980年,公办,www.sistm.edu.cn,,
上海市普陀区业余大学,普陀区,,公办,,,
上海市虹口区业余大学,虹口区,,公办,,,
上海市宝山区业余大学,宝山区,,公办,,,
